record_id,case_id,lp_id,fund_name,investor_name,commitment_amount,drawn_to_date_before_call,remaining_commitment_amount,capital_call_amount,capital_call_percentage,call_number,call_date,due_date,currency,bank_account_reference,management_fee,document_type,record_status
REC-CC-001-A,CC-001,LP-CC001,Northstar Growth Fund II,Albion Capital Partners,5000000.00,2000000.00,3000000.00,625000.00,0.125000,2,2026-09-04,2026-09-18,GBP,NSGFII-ALB-CC04,25000.00,CAPITAL_CALL,ACTIVE
REC-CC-003-A,CC-003,LP-CC003,Juniper Ridge Private Credit III,Wrenford Mutual Assurance Pool,10000000.00,4000000.00,6000000.00,625000.00,0.062500,4,2026-09-04,2026-09-25,GBP,JRPC3-WRE-CC06,,CAPITAL_CALL,ACTIVE
REC-CC-004-A,CC-004,LP-CC004,Harbourlight Secondaries IV,Calder Fen Borough Retirement Scheme,18000000.00,7200000.00,10800000.00,450000.00,0.025000,5,2026-09-30,2026-10-15,GBP,HS4-CFB-CC09,,CAPITAL_CALL,ACTIVE
REC-CC-005-A,CC-005,LP-CC005,Merevale Infrastructure Partners II,Merevale Teachers' Pension Trust Limited,22000000.00,8800000.00,13200000.00,550000.00,0.025000,6,2026-09-04,2026-09-29,GBP,MIP2-MTP-CC03,,CAPITAL_CALL,ACTIVE
REC-CC-006-A,CC-006,LP-CC006,Redwood Arc Ventures III,Ashcombe University Endowment,18000000.00,7200000.00,10800000.00,360000.00,0.020000,7,2026-09-04,2026-09-24,GBP,RAV3-AUE-CC05,,CAPITAL_CALL,ACTIVE
REC-CC-007-A,CC-007,LP-CC007,Peregrine Transition Fund I,Briarwick Heritage Endowment,18000000.00,7200000.00,10800000.00,450000.00,0.025000,8,2026-09-04,2026-09-30,GBP,PTF1-BHE-CC02,,CAPITAL_CALL,ACTIVE
REC-CC-007-B,CC-007,PTF1-LP-088,Peregrine Transition Fund I,Briarwick Heritage Endowment,12000000.00,7200000.00,10800000.00,300000.00,0.025000,8,2026-09-04,2026-09-30,GBP,PTF1-BHE-CC02,,CAPITAL_CALL,ACTIVE
REC-CC-008-A,CC-008,LP-CC008,Silver Quay Buyout V,Larkspur County Pension Partnership,12000000.00,4800000.00,7200000.00,300000.00,0.025000,9,2026-09-04,2026-09-23,GBP,SQB5-LCP-CC08,,CAPITAL_CALL,ACTIVE
REC-CC-009-A,CC-009,LP-CC009,Kestrel Ridge Opportunities II,Morrowgate Insurance Reserve,10000000.00,4000000.00,6000000.00,625000.00,0.062500,1,2026-09-04,2026-09-21,GBP,KRO2-MIR-CC06,,CAPITAL_CALL,ACTIVE
REC-CC-010-A,CC-010,LP-CC010,Beacon Strand Co-Investment I,Ellington Science Foundation,5000000.00,2000000.00,3000000.00,125000.00,0.025000,2,2026-09-04,2026-09-22,GBP,BSC1-ESF-CC02,,CAPITAL_CALL,ACTIVE
REC-CC-011-A,CC-011,LP-CC011,Summit Vale Growth III,Northbridge Municipal Retirement Fund,25000000.00,10000000.00,15000000.00,625000.00,0.025000,3,2026-09-04,2026-09-30,GBP,SVG3-NMR-CC04,,CAPITAL_CALL,ACTIVE
REC-CC-012-A,CC-012,LP-CC012,Mariner Square Real Assets II,Halcyon Medical Research Foundation,20000000.00,8000000.00,12000000.00,625000.00,0.031250,4,2026-09-04,2026-09-30,GBP,MSR2-HMR-CC05,,CAPITAL_CALL,ACTIVE
REC-CC-013-A,CC-013,LP-CC013,Northstar Growth Fund II,Rosemere College Endowment,25000000.00,10000000.00,15000000.00,625000.00,0.025000,5,2026-09-04,2026-09-30,GBP,NSGFII-RCE-CC05,,CAPITAL_CALL,ACTIVE
REC-CC-014-A,CC-014,LP-CC014,Northstar Growth Fund II,Blackthorn Heritage Foundation,16000000.00,6400000.00,9600000.00,400000.00,0.025000,6,2026-09-04,2026-09-30,GBP,NSGFII-BHF-CC04,,CAPITAL_CALL,ACTIVE
REC-CC-014-B,CC-014,NSG1-LP-063,Northstar Growth Fund I,Blackthorn Heritage Foundation,9000000.00,6400000.00,9600000.00,225000.00,0.025000,6,2026-09-04,2026-09-30,GBP,NSGFII-BHF-CC04,,CAPITAL_CALL,ACTIVE
REC-CC-015-A,CC-015,LP-CC015,Oak Meridian Continuation Fund I,Dunmarsh Public Service Pension Pool,14000000.00,5600000.00,8400000.00,350000.00,0.025000,7,2026-09-04,2026-09-30,GBP,OMC1-DPS-CC03,,CAPITAL_CALL,ACTIVE
REC-CC-016-A,CC-016,LP-CC016,Ironwood Mid-Market Fund IV,Westhaven Educational Trust,20000000.00,7500000.00,12500000.00,500000.00,0.025000,8,2026-09-04,2026-09-29,GBP,IMMF4-WET-CC07,,CAPITAL_CALL,ACTIVE
REC-CC-017-A,CC-017,LP-CC017,Meadowgate Special Situations III,Orchard Crown Charitable Reserve,11000000.00,4400000.00,6600000.00,275000.00,0.025000,9,2026-09-04,2026-09-26,GBP,MSS3-OCR-CC07,,CAPITAL_CALL,ACTIVE
REC-CC-018-A,CC-018,LP-CC018,Crown Mere Technology Fund II,Penford Civic Retirement Trust,8000000.00,3200000.00,4800000.00,200000.00,0.025000,1,2026-09-04,2026-09-24,GBP,CMT2-PCR-CC04,,CAPITAL_CALL,ACTIVE
REC-CC-019-A,CC-019,LP-CC019,Ravenscourt European Buyout VI,Stonebridge Cultural Foundation,15000000.00,6000000.00,9000000.00,375000.00,0.025000,2,2026-09-04,2026-09-28,GBP,REB6-SCF-CC02,,CAPITAL_CALL,ACTIVE
REC-CC-020-A,CC-020,LP-CC020,Granite Reach Infrastructure III,Pinecross Community Endowment,9000000.00,3600000.00,5400000.00,225000.00,0.025000,3,2026-09-04,2026-09-27,GBP,GRI3-PCE-CC05,,CAPITAL_CALL,ACTIVE
REC-CC-021-A,CC-021,LP-CC021,Willow Forge Growth Opportunities I,Eastmere Social Impact Trust,12500000.00,5000000.00,7500000.00,624999.995,0.050000,4,2026-09-04,2026-09-30,GBP,WFGO1-ESI-CC03,,CAPITAL_CALL,ACTIVE
REC-CC-022-A,CC-022,LP-CC022,Foxglove Life Sciences Fund II,Kingswell Research Endowment,24000000.00,9600000.00,14400000.00,600000.00,0.025000,5,2026-09-04,2026-09-30,GBP,FLS2-KRE-CC06,25000.00,CAPITAL_CALL,ACTIVE
REC-CC-023-A,CC-023,LP-CC023,Bluehaven Digital Infrastructure II,Fairwater Municipal Superannuation Pool,32000000.00,12800000.00,19200000.00,800000.00,0.025000,6,2026-09-04,2026-09-30,USD,BDI2-FMS-CC05,,CAPITAL_CALL,ACTIVE
REC-CC-024-B,CC-024,CACP1-LP-072-B,Cedar Arc Climate Partners I,Glenhaven Public Pension Partnership,10000000.00,4000000.00,6000000.00,250000.00,0.025000,7,2026-09-04,2026-09-25,GBP,CACP1-GPP-B-CC02,,CAPITAL_CALL,ACTIVE
